Open,Close,High,Low,Volume
461.17,460.4,461.72,460.05,442.16981293
460.61,461.02,461.65,460.3,306.73850082
461.02,462.21,464.21,461.02,986.07658293
463.0,460.37,463.0,460.3,226.70933649
460.69,461.49,461.92,460.32,512.82984447
461.5,462.6,463.7,461.5,579.44632371
462.6,464.29,465.0,462.6,673.32444943
464.28,462.61,464.75,462.61,813.3466457999999
462.6,461.2,462.79,460.7,1045.93263732
461.21,460.5,461.56,460.0,405.16722621
460.52,461.74,461.74,460.52,109.35372904
461.38,461.81,462.51,461.01,485.22033494
461.8,462.3,462.49,461.8,155.17220364
462.27,462.56,462.56,460.72,315.13546913
462.54,463.94,463.99,462.28,543.69528525
463.48,464.54,464.8,463.26,214.16734215
464.77,465.22,465.23,464.27,309.33516022
465.21,464.0,465.22,463.65,858.15203546
464.02,463.18,464.51,462.16,952.53181011
463.18,463.08,463.67,461.74,866.55687107
463.0,461.57,463.05,461.16,312.79266949
461.66,461.62,462.5,461.62,438.53061013
461.78,462.47,462.55,461.53,1430.68390859
462.47,462.31,462.47,462.3,533.19636017
462.3,462.23,462.5,461.97,772.7346863
462.23,462.77,462.77,462.22,575.71584113
462.77,463.01,463.53,462.77,340.84581064
463.01,462.64,463.97,462.32,2216.68578619
462.52,461.94,462.52,461.8,293.54554662
461.93,462.03,462.85,461.93,306.44058696
462.03,461.44,463.06,461.21,704.2730209
461.43,462.41,462.96,461.43,445.41610117
462.6,465.06,465.06,462.4,486.50955842
465.02,464.86,465.18,464.4,437.62724599
464.85,464.89,465.0,464.31,389.47558235
464.53,465.0,465.0,464.46,599.87898838
465.0,465.7,466.2,464.9,2462.78532405
465.86,465.81,466.2,465.01,1637.41123008
465.8,465.51,465.93,465.32,561.08518811
465.51,465.87,465.87,465.5,219.49039734
465.87,466.0,466.19,465.56,440.83016505
466.1,470.06,470.97,465.8,8249.35311498
470.06,468.58,472.0,468.56,4270.97512743
468.57,469.41,470.21,465.02,1403.76489804
469.5,471.01,472.0,469.0,4571.43905424
